CustomerID,Age,Income,EmploymentStatus,LoanProduct,LoanAmount,RepaymentHistory,Frequency,Recency,Monetary,LoanTaken,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,AgeGroup,IncomeBracket
49,19,67574,0,1,128152,1,1,9,401982,0,2,1,4,7,Medium,1,2
50,37,143978,1,3,12081,1,11,10,306968,0,1,3,3,7,Medium,3,4
51,45,145204,0,4,369860,1,7,11,293200,1,1,2,3,6,Low,3,4
52,64,111051,0,2,146186,1,10,7,13299,1,2,2,1,5,Low,5,3
53,24,122020,1,2,253917,2,2,4,303475,1,3,1,3,7,Medium,1,4
54,61,56182,0,0,285866,1,16,7,193295,0,2,4,2,8,Medium,5,2
55,25,136136,1,0,354652,1,5,5,442082,0,3,1,4,8,Medium,1,4
56,64,20570,1,3,396896,1,16,10,394755,0,1,4,4,9,Medium,5,1
57,52,117790,0,3,22985,1,16,9,143921,0,2,4,2,8,Medium,4,4
58,31,39288,2,2,404104,1,15,2,149843,0,4,3,2,9,Medium,2,1
59,34,98824,0,1,467470,1,9,4,296748,0,3,2,3,8,Medium,2,3
60,53,49877,0,2,495899,2,1,6,404251,0,3,1,4,8,Medium,4,1
61,57,104425,1,2,387378,1,9,11,478856,0,1,2,4,7,Medium,5,3
62,21,20917,0,3,244990,0,11,5,462736,1,3,3,4,10,High,1,1
63,19,95602,1,0,350989,1,5,1,78495,1,4,1,1,6,Low,1,3
64,23,115040,1,3,390590,1,6,9,8196,1,2,2,1,5,Low,1,3
65,59,84575,2,3,155371,1,8,9,317481,0,2,2,3,7,Medium,5,2
66,21,92518,0,3,454266,0,15,3,41899,0,4,3,1,8,Medium,1,3
67,46,142115,0,2,111747,0,16,4,417675,0,3,4,4,11,High,4,4
68,35,59104,1,1,27036,1,18,4,202020,0,3,4,2,9,Medium,2,2
69,43,38062,0,2,261306,1,12,10,98270,0,1,3,1,5,Low,3,1
70,61,36999,0,4,221493,1,4,8,472426,1,2,1,4,7,Medium,5,1
71,51,81845,0,3,34346,0,16,6,81687,0,3,4,1,8,Medium,4,2
72,27,29941,0,3,380651,1,11,2,172687,0,4,3,2,9,Medium,2,1
73,53,81169,0,4,381817,1,7,4,407010,0,3,2,4,9,Medium,4,2
74,31,43470,1,3,293835,1,15,1,291502,1,4,3,3,10,High,2,1
75,48,149744,1,3,110578,1,17,3,38849,0,4,4,1,9,Medium,4,4
76,32,130684,0,3,285130,0,15,4,67603,1,3,3,1,7,Medium,2,4
77,25,79821,0,4,163918,1,10,8,230451,1,2,2,2,6,Low,1,2
78,31,106669,0,2,316809,1,4,3,124043,0,4,1,1,6,Low,2,3
79,40,138193,1,3,118408,1,17,5,94582,1,3,4,1,8,Medium,3,4
80,57,64435,0,1,177473,1,4,1,471968,1,4,1,4,9,Medium,5,2
81,38,24529,1,4,78728,1,11,4,275533,0,3,3,3,9,Medium,3,1
82,33,103055,0,0,55054,0,4,2,253386,0,4,1,3,8,Medium,2,3
83,62,32192,1,4,174559,1,12,4,177454,1,3,3,2,8,Medium,5,1
84,35,94102,0,2,407628,1,10,5,350205,1,3,2,3,8,Medium,2,3
85,64,92762,1,4,86499,1,14,3,323231,0,4,3,3,10,High,5,3
86,41,123466,0,0,187545,0,18,6,398172,1,3,4,4,11,High,3,4
87,43,134894,1,1,366303,1,6,2,342925,0,4,2,3,9,Medium,3,4
88,42,106795,0,0,71553,0,5,5,219112,0,3,1,2,6,Low,3,3
89,62,54087,1,4,10279,1,2,4,82895,0,3,1,1,5,Low,5,2
90,58,86677,1,0,474164,0,13,5,364328,1,3,3,3,9,Medium,5,3
91,46,24627,0,4,274856,1,14,9,140599,0,2,3,2,7,Medium,4,1
92,32,76541,1,1,282961,1,3,6,454474,0,3,1,4,8,Medium,2,2
93,62,132805,0,1,189904,1,11,7,115971,0,2,3,1,6,Low,5,4
94,18,88226,0,2,360760,2,4,11,490121,0,1,1,4,6,Low,,3
95,42,125627,0,1,454440,2,13,8,273837,1,2,3,3,8,Medium,3,4
96,24,23255,0,3,404840,0,8,9,304815,1,2,2,3,7,Medium,1,1
97,26,77433,1,0,427342,0,8,5,37823,0,3,2,1,6,Low,2,2
98,41,25213,1,0,480331,1,13,8,486894,0,2,3,4,9,Medium,3,1
99,18,122412,0,4,85667,1,10,2,346094,0,4,2,3,9,Medium,,4
100,61,39404,0,1,173534,2,13,10,236639,1,1,3,2,6,Low,5,1
101,25,136545,1,2,194748,0,13,9,193436,0,2,3,2,7,Medium,1,4
102,41,45380,2,2,182887,1,17,2,229882,0,4,4,2,10,High,3,1
103,28,111056,0,2,239027,1,6,5,257113,0,3,2,3,8,Medium,2,3
104,34,39173,2,3,224983,1,2,6,373930,0,3,1,3,7,Medium,2,1
105,25,148833,0,1,293237,1,17,4,85586,0,3,4,1,8,Medium,1,4
106,52,73027,0,2,116030,1,12,8,285522,0,2,3,3,8,Medium,4,2
107,52,43989,1,3,122385,1,6,10,22218,0,1,2,1,4,Low,4,1
108,50,128106,0,0,168597,1,5,3,255043,0,4,1,3,8,Medium,4,4
109,22,44519,0,4,34030,0,5,11,239646,0,1,1,2,4,Low,1,1
110,59,145803,0,1,49067,0,9,5,478024,1,3,2,4,9,Medium,5,4
111,56,42439,1,1,403423,0,3,2,412742,0,4,1,4,9,Medium,5,1
112,58,138570,1,0,343577,0,5,3,85278,0,4,1,1,6,Low,5,4
113,45,96949,0,1,293783,1,7,8,123997,0,2,2,1,5,Low,3,3
114,24,34995,0,1,401008,0,12,11,178946,1,1,3,2,6,Low,1,1
115,26,43559,0,1,5420,1,7,5,114097,1,3,2,1,6,Low,2,1
116,25,148028,0,1,492976,2,10,3,366949,1,4,2,3,9,Medium,1,4
117,29,130887,0,3,24198,1,8,5,347975,1,3,2,3,8,Medium,2,4
118,51,109049,1,3,433824,2,17,9,86089,1,2,4,1,7,Medium,4,3
119,50,25021,0,4,182277,1,5,3,311425,1,4,1,3,8,Medium,4,1
120,40,118000,0,1,87951,1,15,10,353752,0,1,3,3,7,Medium,3,4
121,41,41119,0,0,242015,1,9,7,205744,1,2,2,2,6,Low,3,1
122,54,71539,0,2,285019,1,11,8,412921,0,2,3,4,9,Medium,4,2
123,52,114835,2,4,75511,1,13,5,152475,1,3,3,2,8,Medium,4,3
124,61,59350,0,2,96997,1,18,3,284560,0,4,4,3,11,High,5,2
125,57,66223,0,2,288475,0,17,11,46784,0,1,4,1,6,Low,5,2
126,39,45517,0,1,284037,1,9,6,117251,1,3,2,1,6,Low,3,1
127,44,98653,0,0,200985,1,10,3,221266,1,4,2,2,8,Medium,3,3
128,52,42250,0,2,23243,1,5,9,68376,1,2,1,1,4,Low,4,1
129,18,104486,0,2,20535,1,11,2,278997,0,4,3,3,10,High,,3
130,52,102895,0,4,461419,1,15,3,33369,0,4,3,1,8,Medium,4,3
131,54,109132,0,0,468813,1,2,7,183193,0,2,1,2,5,Low,4,3
132,64,111066,0,0,334538,2,14,10,5747,1,1,3,1,5,Low,5,3
133,31,86798,0,2,161561,1,5,8,179398,0,2,1,2,5,Low,2,3
134,20,74199,2,0,346358,0,6,5,381519,0,3,2,4,9,Medium,1,2
135,18,143823,0,4,387439,0,15,5,175844,0,3,3,2,8,Medium,,4
136,22,79546,0,4,367513,0,4,5,350031,0,3,1,3,7,Medium,1,2
137,43,148180,0,4,117695,1,10,4,446625,1,3,2,4,9,Medium,3,4
138,31,125686,0,1,220958,1,19,9,205155,1,2,4,2,8,Medium,2,4
139,56,108151,1,2,280490,1,9,6,496463,0,3,2,4,9,Medium,5,3
140,44,23327,0,0,184077,0,10,8,394371,0,2,2,4,8,Medium,3,1
141,26,140318,1,4,404989,1,4,8,427227,1,2,1,4,7,Medium,2,4
142,32,49768,0,2,231073,2,4,5,351862,1,3,1,3,7,Medium,2,1
143,32,84418,0,2,127580,1,6,9,237391,0,2,2,2,6,Low,2,2
144,43,114386,1,1,342468,1,8,2,191829,0,4,2,2,8,Medium,3,3
145,59,136947,0,0,168415,1,16,8,318100,1,2,4,3,9,Medium,5,4
146,30,62788,0,0,248470,1,8,3,196094,0,4,2,2,8,Medium,2,2
147,49,135945,0,4,369890,2,16,7,334703,0,2,4,3,9,Medium,4,4
148,56,102384,1,4,79783,1,6,9,79128,0,2,2,1,5,Low,5,3
149,49,66830,0,2,444179,1,17,11,195834,0,1,4,2,7,Medium,4,2
150,21,72446,1,0,440199,1,1,5,330913,0,3,1,3,7,Medium,1,2
151,47,125078,0,0,172044,1,19,11,298253,0,1,4,3,8,Medium,4,4
152,54,35160,1,4,284103,1,18,8,91352,0,2,4,1,7,Medium,4,1
153,40,76583,0,3,356487,1,17,4,31499,0,3,4,1,8,Medium,3,2
154,56,53998,1,2,170205,1,17,1,162016,0,4,4,2,10,High,5,2
155,62,47230,0,0,225826,1,12,1,364942,0,4,3,3,10,High,5,1
156,32,29076,2,1,56150,1,12,6,179352,1,3,3,2,8,Medium,2,1
157,60,89341,0,1,288878,1,6,8,368772,1,2,2,3,7,Medium,5,3
158,46,51085,0,3,486580,1,7,10,388995,0,1,2,4,7,Medium,4,1
159,53,75571,0,4,22400,0,8,2,416477,1,4,2,4,10,High,4,2
160,30,34715,0,4,156074,2,3,11,179719,0,1,1,2,4,Low,2,1
161,49,148308,0,4,365473,0,17,4,325885,1,3,4,3,10,High,4,4
162,24,25750,2,1,391582,2,8,3,290489,0,4,2,3,9,Medium,1,1
163,39,133931,2,4,434708,1,11,9,408327,0,2,3,4,9,Medium,3,4
164,45,98768,0,1,102753,1,18,3,414605,0,4,4,4,12,High,3,3
165,19,138544,2,3,499978,1,16,11,108837,1,1,4,1,6,Low,1,4
166,59,55903,0,2,229540,1,13,8,194001,0,2,3,2,7,Medium,5,2
167,62,92489,0,0,376007,1,9,7,145785,0,2,2,2,6,Low,5,3
168,23,52093,1,3,166947,0,19,1,239551,0,4,4,2,10,High,1,2
169,45,111036,1,1,161118,1,7,8,434862,0,2,2,4,8,Medium,3,3
170,45,107954,2,3,159736,1,17,9,418069,0,2,4,4,10,High,3,3
171,61,139277,0,0,422669,1,8,8,145085,0,2,2,2,6,Low,5,4
172,61,54314,1,2,9746,1,8,10,124021,0,1,2,1,4,Low,5,2
173,37,68225,0,0,225581,1,3,10,126321,0,1,1,1,3,Low,3,2
174,47,107985,0,1,128765,0,16,1,8093,0,4,4,1,9,Medium,4,3
175,28,103014,0,0,411433,1,12,11,445760,0,1,3,4,8,Medium,2,3
176,45,55179,2,3,330328,2,15,11,475056,0,1,3,4,8,Medium,3,2
177,42,137305,1,4,93898,2,4,7,448225,1,2,1,4,7,Medium,3,4
178,56,132417,1,3,308979,1,7,9,365201,0,2,2,3,7,Medium,5,4
179,50,45338,0,1,276277,1,11,5,162953,1,3,3,2,8,Medium,4,1
180,18,112435,0,2,106345,0,5,2,241994,0,4,1,2,7,Medium,,3
181,44,89681,0,0,45533,1,13,8,166839,1,2,3,2,7,Medium,3,3
182,30,52101,0,2,403620,1,11,9,438961,0,2,3,4,9,Medium,2,2
183,58,22775,0,1,169411,2,5,7,105854,0,2,1,1,4,Low,5,1
184,20,131497,1,0,295869,1,8,5,326674,0,3,2,3,8,Medium,1,4
185,56,117183,0,3,210404,1,17,8,38993,0,2,4,1,7,Medium,5,3
186,23,65619,0,3,443596,1,11,6,479763,1,3,3,4,10,High,1,2
187,25,65838,0,1,446289,1,19,4,32132,0,3,4,1,8,Medium,1,2
188,44,141316,0,0,196945,1,18,1,177685,0,4,4,2,10,High,3,4
189,26,39539,0,3,222972,1,10,6,241829,0,3,2,2,7,Medium,2,1
190,54,122274,2,1,132240,1,5,8,61552,0,2,1,1,4,Low,4,4
191,50,77124,1,1,177413,1,1,3,211139,0,4,1,2,7,Medium,4,2
192,59,85149,1,2,268380,2,17,7,75092,0,2,4,1,7,Medium,5,2
193,61,46616,0,3,335060,0,17,7,138789,1,2,4,2,8,Medium,5,1
194,41,99655,0,0,372625,1,1,9,266669,0,2,1,3,6,Low,3,3
195,32,110695,0,3,133357,1,1,1,106696,0,4,1,1,6,Low,2,3
196,49,74567,1,3,281682,1,9,5,422754,1,3,2,4,9,Medium,4,2
197,49,57099,1,3,410187,1,4,8,247862,0,2,1,2,5,Low,4,2
198,41,95831,0,1,104821,0,9,3,440238,1,4,2,4,10,High,3,3
199,58,120246,0,4,481669,1,14,5,306034,0,3,3,3,9,Medium,5,4
200,29,81799,0,4,43655,1,15,1,189752,0,4,3,2,9,Medium,2,2
201,56,140714,1,2,213094,1,16,9,211408,1,2,4,2,8,Medium,5,4
202,19,110221,2,3,65784,0,16,4,251841,1,3,4,2,9,Medium,1,3
203,20,134879,0,4,389691,2,13,5,306551,1,3,3,3,9,Medium,1,4
204,54,45479,0,2,385321,1,14,3,290546,0,4,3,3,10,High,4,1
205,34,66172,0,1,459505,1,9,2,256865,0,4,2,3,9,Medium,2,2
206,19,119165,0,3,173482,1,9,7,163296,0,2,2,2,6,Low,1,4
207,19,75863,0,0,358126,1,4,11,199320,0,1,1,2,4,Low,1,2
208,45,62043,0,1,449518,1,10,5,116749,0,3,2,1,6,Low,3,2
209,40,102569,1,2,419919,2,3,11,337430,0,1,1,3,5,Low,3,3
210,54,122438,1,1,311335,1,9,10,280964,0,1,2,3,6,Low,4,4
211,49,130107,0,0,254526,0,19,3,265034,0,4,4,3,11,High,4,4
212,50,35408,1,1,321256,2,16,2,368102,1,4,4,3,11,High,4,1
213,18,142275,0,2,16399,1,16,10,250915,1,1,4,2,7,Medium,,4
214,36,77980,0,0,371509,1,17,6,255056,0,3,4,3,10,High,3,2
215,19,102956,0,0,17685,0,18,10,302981,1,1,4,3,8,Medium,1,3
216,61,36351,0,1,354921,1,10,6,219955,0,3,2,2,7,Medium,5,1
217,43,24131,0,0,271631,1,19,3,419194,1,4,4,4,12,High,3,1
218,49,136836,0,1,279162,1,15,9,411929,0,2,3,4,9,Medium,4,4
219,23,64825,0,3,429041,1,15,1,307575,0,4,3,3,10,High,1,2
220,49,31349,2,0,143822,1,11,3,298351,0,4,3,3,10,High,4,1
221,21,80931,0,1,457172,1,8,1,207911,0,4,2,2,8,Medium,1,2
222,28,64254,0,3,448445,1,16,7,273286,1,2,4,3,9,Medium,2,2
223,34,58225,0,0,88220,1,10,2,270899,1,4,2,3,9,Medium,2,2
224,55,124383,1,3,310262,1,9,11,249805,0,1,2,2,5,Low,4,4
225,41,32453,0,0,64615,1,15,11,333510,0,1,3,3,7,Medium,3,1
226,22,38814,1,2,84946,1,5,4,264019,0,3,1,3,7,Medium,1,1
227,51,38263,0,2,257409,1,2,4,116929,0,3,1,1,5,Low,4,1
228,23,97694,0,1,126869,1,16,8,175414,1,2,4,2,8,Medium,1,3
229,39,35735,0,4,455506,0,18,11,346373,0,1,4,3,8,Medium,3,1
230,28,35830,0,2,282249,0,16,4,273265,0,3,4,3,10,High,2,1
231,33,67893,0,4,417129,0,5,3,164376,0,4,1,2,7,Medium,2,2
232,50,64673,0,3,368708,2,1,10,53294,1,1,1,1,3,Low,4,2
233,26,147006,0,3,185587,1,19,3,355138,0,4,4,3,11,High,2,4
234,23,109462,0,4,52342,1,10,5,69902,0,3,2,1,6,Low,1,3
235,33,65066,0,1,379160,1,13,6,235718,0,3,3,2,8,Medium,2,2
236,46,120315,2,0,251605,2,11,7,244732,1,2,3,2,7,Medium,4,4
237,20,23373,0,4,188256,0,15,5,310848,1,3,3,3,9,Medium,1,1
238,37,30335,1,4,481463,1,2,7,225671,0,2,1,2,5,Low,3,1
239,53,43741,1,4,327650,1,6,4,443474,1,3,2,4,9,Medium,4,1
240,36,30692,0,4,292111,1,11,5,258089,0,3,3,3,9,Medium,3,1
241,43,67295,0,4,303167,1,15,6,301756,0,3,3,3,9,Medium,3,2
242,20,65541,0,1,321432,1,9,9,182089,0,2,2,2,6,Low,1,2
243,36,54057,1,2,257868,2,12,6,382293,0,3,3,4,10,High,3,2
244,37,86983,1,0,129939,1,4,10,363225,1,1,1,3,5,Low,3,3
245,49,39583,1,2,368685,2,14,11,384823,0,1,3,4,8,Medium,4,1
246,24,42765,2,4,293766,1,3,1,421443,1,4,1,4,9,Medium,1,1
247,58,79287,1,2,50201,1,17,11,326066,1,1,4,3,8,Medium,5,2
248,50,43906,0,1,473249,0,13,7,332880,1,2,3,3,8,Medium,4,1
249,57,140747,0,3,21350,1,8,11,87435,0,1,2,1,4,Low,5,4
250,56,105103,1,2,321964,1,12,11,469623,0,1,3,4,8,Medium,5,3
251,35,99675,0,0,315853,0,12,3,247893,0,4,3,2,9,Medium,2,3
252,57,66525,0,1,355376,0,12,6,420050,1,3,3,4,10,High,5,2
253,18,58230,1,3,425686,1,2,2,429541,0,4,1,4,9,Medium,,2
254,28,137904,0,1,166961,1,10,7,222831,1,2,2,2,6,Low,2,4
255,45,39520,2,4,146296,1,9,1,296690,1,4,2,3,9,Medium,3,1
256,42,105238,1,3,243332,2,1,2,93410,0,4,1,1,6,Low,3,3
257,40,71934,0,0,141537,2,4,9,425188,0,2,1,4,7,Medium,3,2
258,48,45566,2,3,349562,1,14,9,201531,0,2,3,2,7,Medium,4,1
259,47,93193,0,0,102739,1,16,7,450599,0,2,4,4,10,High,4,3
260,59,123224,0,4,229552,2,18,2,270840,1,4,4,3,11,High,5,4
261,52,50134,0,0,60214,1,2,5,243843,0,3,1,2,6,Low,4,1
262,24,30345,0,1,231445,1,6,4,57445,0,3,2,1,6,Low,1,1
263,33,141012,0,2,139016,1,3,2,356065,1,4,1,3,8,Medium,2,4
264,43,141015,0,1,29336,1,19,2,154085,0,4,4,2,10,High,3,4
265,19,61185,0,1,43624,1,13,10,418618,0,1,3,4,8,Medium,1,2
266,18,135464,0,3,332350,1,17,8,435473,0,2,4,4,10,High,,4
267,29,112949,1,4,49764,1,14,5,127251,0,3,3,2,8,Medium,2,3
268,22,90744,1,2,495548,2,11,8,334696,0,2,3,3,8,Medium,1,3
269,54,53455,0,0,361469,1,16,2,329561,0,4,4,3,11,High,4,2
270,49,135217,0,3,50420,1,11,2,46126,0,4,3,1,8,Medium,4,4
271,26,48018,0,4,487974,0,18,11,38743,0,1,4,1,6,Low,2,1
272,58,74219,0,2,109381,0,2,11,353611,1,1,1,3,5,Low,5,2
273,52,65991,1,1,70671,1,8,3,307217,0,4,2,3,9,Medium,4,2
274,36,93616,1,4,413989,1,14,11,284387,1,1,3,3,7,Medium,3,3
275,33,107438,0,4,112596,1,2,10,287472,0,1,1,3,5,Low,2,3
276,20,136841,0,4,293591,1,13,8,5209,1,2,3,1,6,Low,1,4
277,37,29486,0,1,140105,1,10,8,14800,1,2,2,1,5,Low,3,1
278,41,58862,1,0,454068,1,8,3,70749,1,4,2,1,7,Medium,3,2
279,50,141662,0,3,25497,1,7,1,354961,1,4,2,3,9,Medium,4,4
280,41,78870,2,0,84714,0,13,7,295151,1,2,3,3,8,Medium,3,2
281,28,106694,1,2,131892,1,19,4,305694,0,3,4,3,10,High,2,3
282,25,125996,0,3,208154,1,15,3,438386,0,4,3,4,11,High,1,4
283,53,63856,0,2,472148,1,2,5,423764,0,3,1,4,8,Medium,4,2
284,55,121407,2,1,419194,1,5,6,164447,0,3,1,2,6,Low,4,4
285,57,120744,0,0,244939,1,19,1,133396,0,4,4,2,10,High,5,4
286,37,106055,0,4,148954,0,1,9,332983,0,2,1,3,6,Low,3,3
287,52,51379,0,3,153017,0,7,6,126964,0,3,2,1,6,Low,4,1
288,42,84729,1,4,485536,0,18,3,192224,1,4,4,2,10,High,3,2
289,52,48378,1,2,454701,1,1,1,228019,1,4,1,2,7,Medium,4,1
290,42,125428,1,4,467066,1,1,9,357238,0,2,1,3,6,Low,3,4
291,46,74353,1,4,254720,1,7,2,55012,0,4,2,1,7,Medium,4,2
292,35,69996,1,1,327014,1,17,10,222039,1,1,4,2,7,Medium,2,2
293,63,34031,2,1,154667,0,6,6,449223,0,3,2,4,9,Medium,5,1
294,35,100072,0,0,220363,0,12,6,470703,1,3,3,4,10,High,2,3
295,19,85982,0,2,102847,0,15,3,475405,0,4,3,4,11,High,1,3
296,52,56683,1,1,200110,0,13,11,433151,0,1,3,4,8,Medium,4,2
297,33,134091,1,1,454342,2,12,6,338639,0,3,3,3,9,Medium,2,4
298,58,137797,1,0,247303,1,2,2,219625,0,4,1,2,7,Medium,5,4
299,53,37618,0,3,363278,2,18,8,102489,0,2,4,1,7,Medium,4,1
300,50,26587,1,0,433665,1,4,1,433458,1,4,1,4,9,Medium,4,1
301,21,82790,1,4,368254,0,10,6,215463,0,3,2,2,7,Medium,1,2
302,50,51480,0,4,246337,1,11,1,485176,0,4,3,4,11,High,4,1
303,31,118530,0,1,416855,1,6,9,367825,0,2,2,3,7,Medium,2,4
304,38,40527,0,1,443586,0,6,9,264297,0,2,2,3,7,Medium,3,1
305,37,43569,0,0,494775,1,9,6,31326,1,3,2,1,6,Low,3,1
306,25,31151,0,0,210700,2,13,6,491010,0,3,3,4,10,High,1,1
307,24,91094,0,2,76918,1,5,9,397338,1,2,1,4,7,Medium,1,3
308,20,79174,0,4,440926,1,6,5,352475,1,3,2,3,8,Medium,1,2
309,34,64739,1,0,190123,1,4,9,320955,0,2,1,3,6,Low,2,2
310,50,52954,1,3,196711,1,6,5,205883,0,3,2,2,7,Medium,4,2
311,29,132984,1,2,8159,1,18,4,58537,0,3,4,1,8,Medium,2,4
312,39,132863,0,0,338336,1,13,2,62829,0,4,3,1,8,Medium,3,4
313,39,129373,0,1,334132,1,3,2,14552,0,4,1,1,6,Low,3,4
314,63,55303,1,0,112739,1,10,1,471027,0,4,2,4,10,High,5,2
315,47,54700,0,1,285850,1,4,10,20485,0,1,1,1,3,Low,4,2
316,55,113036,2,1,408078,1,15,3,431756,0,4,3,4,11,High,4,3
317,55,143728,1,4,277363,2,12,1,344649,1,4,3,3,10,High,4,4
318,62,87568,0,4,356161,1,15,6,318128,0,3,3,3,9,Medium,5,3
319,25,86788,2,0,301680,1,10,11,182185,0,1,2,2,5,Low,1,3
320,44,91045,0,0,338776,1,12,7,143677,0,2,3,2,7,Medium,3,3
321,44,57842,0,3,239561,1,8,9,104603,1,2,2,1,5,Low,3,2
322,51,33900,1,2,475607,1,3,7,86389,0,2,1,1,4,Low,4,1
323,38,147992,0,2,461102,1,7,4,160829,0,3,2,2,7,Medium,3,4
324,47,100059,2,0,375942,1,18,4,391286,0,3,4,4,11,High,4,3
325,50,21881,0,4,478212,1,3,8,49865,0,2,1,1,4,Low,4,1
326,45,53037,0,3,301081,1,15,4,67811,0,3,3,1,7,Medium,3,2
327,64,21630,0,2,26094,0,2,1,13337,0,4,1,1,6,Low,5,1
328,50,40789,1,0,130312,1,15,9,239539,0,2,3,2,7,Medium,4,1
329,22,146083,0,4,109894,1,13,3,82670,1,4,3,1,8,Medium,1,4
330,36,108059,0,4,251146,1,10,1,400055,0,4,2,4,10,High,3,3
331,21,103494,1,4,122118,1,8,9,238970,1,2,2,2,6,Low,1,3
332,52,66151,0,1,163996,1,16,11,218794,1,1,4,2,7,Medium,4,2
333,34,68920,1,4,350469,1,16,11,473942,0,1,4,4,9,Medium,2,2
334,61,129388,0,0,136195,1,2,10,58102,1,1,1,1,3,Low,5,4
335,45,87231,1,3,451365,1,9,10,284846,0,1,2,3,6,Low,3,3
336,47,137946,1,0,338589,1,8,5,21359,0,3,2,1,6,Low,4,4
337,46,100357,0,4,36854,1,11,9,355182,0,2,3,3,8,Medium,4,3
338,63,23262,0,3,65796,1,1,3,299658,1,4,1,3,8,Medium,5,1
339,23,86981,1,2,336576,1,11,6,239002,1,3,3,2,8,Medium,1,3
340,52,140951,0,2,195040,1,18,11,475742,1,1,4,4,9,Medium,4,4
341,58,143099,2,0,439050,1,15,11,441434,1,1,3,4,8,Medium,5,4
